sample,trt,block,pot,days,no3,nh4,faa,tdn,doc
15NSS_001,A,1,11,0,1.67,2.77,3.219,64.04,311.98
15NSS_002,A,2,24,0,,,,61.81,298.39
15NSS_003,A,3,30,0,1.64,3.92,1.335,63.48,302.28
15NSS_004,A,4,42,0,1.69,4.15,0.997,62.36,284.81
15NSS_005,A,5,53,0,1.69,3.7,1.577,66.82,289.97
15NSS_006,A,6,68,0,1.66,4.77,1.493,56.23,238.36
15NSS_007,B,1,9,0,1.64,3.59,1.432,65.71,234.35
15NSS_008,B,2,13,0,1.62,4.6,1.974,57.91,
15NSS_009,B,3,28,0,1.65,3.72,1.435,63.48,244.05
15NSS_010,B,4,38,0,1.68,5.47,0.935,63.48,232.41
15NSS_011,B,5,58,0,1.62,3.19,5.637,61.25,307.18
15NSS_012,B,6,70,0,1.69,5.08,1.094,66.82,223.07
15NSS_013,C,1,10,0,1.63,4.02,1.659,58.46,245.99
15NSS_014,C,2,15,0,1.68,5,1.153,64.04,230.47
15NSS_015,C,3,32,0,1.64,4.55,1.404,59.02,251.82
15NSS_016,C,4,40,0,1.68,4.82,1.501,66.27,282.87
15NSS_017,C,5,55,0,1.66,5.14,0.862,54,207.77
15NSS_018,C,6,64,0,1.69,3.78,1.452,57.91,255.56
15NSS_019,D,1,6,0,1.65,,1.9,70.72,269.28
15NSS_020,D,2,22,0,1.67,3.75,0.894,66.82,286.75
15NSS_021,D,3,26,0,1.67,3.7,1.263,61.25,263.46
15NSS_022,D,4,43,0,1.66,2.69,0.921,58.46,263.46
15NSS_023,D,5,56,0,,,,,
15NSS_024,D,6,62,0,1.71,4.72,0.919,64.59,213.51
15NSS_025,E,1,2,0,1.61,3.05,2.69,65.71,298.39
15NSS_026,E,2,17,0,1.64,5.05,1.03,61.81,278.99
15NSS_027,E,3,35,0,1.59,4,2.259,54.56,311.98
15NSS_028,E,4,41,0,1.65,5.83,1.104,65.15,249.87
15NSS_029,E,5,57,0,1.64,4.08,1.848,63.48,289.97
15NSS_030,E,6,71,0,1.69,4.12,0.974,64.59,259.39
15NSS_031,F,1,1,0,1.63,3.32,1.433,66.82,292.57
15NSS_032,F,2,14,0,1.63,4.8,1.219,54,242.11
15NSS_033,F,3,27,0,1.63,4.13,1.442,63.48,263.46
15NSS_034,F,4,44,0,1.64,5.29,1.261,61.81,290.63
15NSS_035,F,5,54,0,,,,,
15NSS_036,F,6,63,0,1.73,3.51,0.843,64.59,238.36
15NSS_037,G,1,7,0,,,,72.4,
15NSS_038,G,2,23,0,,,,,
15NSS_039,G,3,31,0,1.7,3.59,0.866,67.38,255.7
15NSS_040,G,4,39,0,,,,,
15NSS_041,G,5,51,0,1.68,4.46,2.459,63.48,257.64
15NSS_042,G,6,61,0,1.66,3.49,1.746,66.27,330.12
15NSS_043,H,1,8,0,,,,,
15NSS_044,H,2,19,0,1.68,4.9,1.074,70.72,265.4
15NSS_045,H,3,29,0,,,,76.3,371.51
15NSS_046,H,4,47,0,1.69,4.14,1.102,67.94,282.87
15NSS_047,H,5,59,0,1.63,5.72,1.437,74.07,339.67
15NSS_048,H,6,65,0,,,,,
15NSS_049,I,1,3,0,1.66,3.16,1.04,75.18,282.87
15NSS_050,I,2,20,0,1.73,4.24,1.75,74.63,253.76
15NSS_051,I,3,25,0,,,,,
15NSS_052,I,4,48,0,1.76,,,75.74,333.33
15NSS_053,I,5,50,0,1.66,3.29,1.333,77.41,292.57
15NSS_054,I,6,72,0,,,,,
15NSS_055,J,1,12,0,,,,,253.76
15NSS_056,J,2,18,0,1.67,3.16,2.945,70.72,284.81
15NSS_057,J,3,36,0,,,,,
15NSS_058,J,4,46,0,,,,,
15NSS_059,J,5,60,0,1.7,3.44,2.491,74.07,270.86
15NSS_060,J,6,69,0,1.69,2.95,0.91,62.92,267.03
15NSS_061,K,1,5,0,1.72,4.49,0.891,80.76,213
15NSS_062,K,2,21,0,,,,,
15NSS_063,K,3,33,0,1.7,2.52,2.63,65.71,317.8
15NSS_064,K,4,37,0,,,,,
15NSS_065,K,5,52,0,,,,,
15NSS_066,K,6,66,0,1.68,4.05,1.566,69.61,261.3
15NSS_067,L,1,4,0,1.75,0.25,0.135,65.71,119.65
15NSS_068,L,2,16,0,1.75,0.32,0.208,55.68,139.06
15NSS_069,L,3,34,0,1.72,0.35,0.205,55.12,156.33
15NSS_070,L,4,45,0,1.74,0.35,0.153,65.15,137.7
15NSS_071,L,5,49,0,1.74,0.38,0.21,56.79,146.24
15NSS_072,L,6,67,0,1.77,0.12,0.139,57.35,122.52
15NSS_073,A,1,11,7,104.03,0.19,0.178,106.18,177.88
15NSS_074,A,2,24,7,112.44,0.16,0.194,172.28,194.39
15NSS_075,A,3,30,7,97.31,0.51,0.621,105.02,203.95
15NSS_076,A,4,42,7,136.64,0.21,0.238,136.33,156.02
15NSS_077,A,5,53,7,78.48,0.27,0.301,87.04,202.04
15NSS_078,A,6,68,7,94.28,0.13,0.169,87.62,173.84
15NSS_079,B,1,9,7,117.48,0.15,0.163,128.21,149.17
15NSS_080,B,2,13,7,103.36,0.21,0.254,101.54,139.8
15NSS_081,B,3,28,7,80.5,0.15,0.194,87.04,148.27
15NSS_082,B,4,38,7,140.34,0.15,0.169,81.82,148.21
15NSS_083,B,5,58,7,74.78,0.26,0.262,78.92,197.96
