sample,trt,block,pot,days,no3,nh4,faa,tdn,doc,din,don,doc_don,don_din
15NSS_001,A,1,11,0,1.67,2.77,3.219,64.04,311.98,4.4399999999999995,59.60000000000001,5.234563758389261,13.423423423423428
15NSS_002,A,2,24,0,NA,NA,NA,61.81,298.39,NA,0,NA,NA
15NSS_003,A,3,30,0,1.64,3.92,1.335,63.48,302.28,5.56,57.919999999999995,5.218922651933702,10.417266187050359
15NSS_004,A,4,42,0,1.69,4.15,0.997,62.36,284.81,5.84,56.519999999999996,5.039101203113942,9.678082191780822
15NSS_005,A,5,53,0,1.69,3.7,1.577,66.82,289.97,5.390000000000001,61.42999999999999,4.720332085300343,11.39703153988868
15NSS_006,A,6,68,0,1.66,4.77,1.493,56.23,238.36,6.43,49.8,4.786345381526105,7.744945567651633
15NSS_007,B,1,9,0,1.64,3.59,1.432,65.71,234.35,5.2299999999999995,60.48,3.8748346560846563,11.564053537284895
15NSS_008,B,2,13,0,1.62,4.6,1.974,57.91,NA,6.22,51.69,NA,8.310289389067524
15NSS_009,B,3,28,0,1.65,3.72,1.435,63.48,244.05,5.37,58.11,4.199793495095509,10.82122905027933
15NSS_010,B,4,38,0,1.68,5.47,0.935,63.48,232.41,7.1499999999999995,56.33,4.125865435824605,7.8783216783216785
15NSS_011,B,5,58,0,1.62,3.19,5.637,61.25,307.18,4.8100000000000005,56.44,5.4425939050318926,11.733887733887732
15NSS_012,B,6,70,0,1.69,5.08,1.094,66.82,223.07,6.77,60.05,3.7147377185678603,8.870014771048744
15NSS_013,C,1,10,0,1.63,4.02,1.659,58.46,245.99,5.6499999999999995,52.81,4.658019314523765,9.346902654867257
15NSS_014,C,2,15,0,1.68,5,1.153,64.04,230.47,6.68,57.36000000000001,4.017956764295676,8.58682634730539
15NSS_015,C,3,32,0,1.64,4.55,1.404,59.02,251.82,6.1899999999999995,52.830000000000005,4.766609880749574,8.534733441033927
15NSS_016,C,4,40,0,1.68,4.82,1.501,66.27,282.87,6.5,59.769999999999996,4.732641793541911,9.195384615384615
15NSS_017,C,5,55,0,1.66,5.14,0.862,54,207.77,6.8,47.2,4.401906779661017,6.9411764705882355
15NSS_018,C,6,64,0,1.69,3.78,1.452,57.91,255.56,5.47,52.44,4.8733790999237225,9.586837294332724
15NSS_019,D,1,6,0,1.65,NA,1.9,70.72,269.28,NA,0,NA,NA
15NSS_020,D,2,22,0,1.67,3.75,0.894,66.82,286.75,5.42,61.39999999999999,4.670195439739414,11.32841328413284
15NSS_021,D,3,26,0,1.67,3.7,1.263,61.25,263.46,5.37,55.88,4.714745884037222,10.405959031657355
15NSS_022,D,4,43,0,1.66,2.69,0.921,58.46,263.46,4.35,54.11,4.868970615413047,12.439080459770116
15NSS_023,D,5,56,0,NA,NA,NA,NA,NA,NA,0,NA,NA
15NSS_024,D,6,62,0,1.71,4.72,0.919,64.59,213.51,6.43,58.160000000000004,3.6710797799174686,9.045101088646968
15NSS_025,E,1,2,0,1.61,3.05,2.69,65.71,298.39,4.66,61.05,4.887633087633088,13.100858369098711
15NSS_026,E,2,17,0,1.64,5.05,1.03,61.81,278.99,6.6899999999999995,55.120000000000005,5.061502177068214,8.239162929745891
15NSS_027,E,3,35,0,1.59,4,2.259,54.56,311.98,5.59,48.97,6.370839289360834,8.760286225402504
15NSS_028,E,4,41,0,1.65,5.83,1.104,65.15,249.87,7.48,57.67,4.332755332061731,7.709893048128342
15NSS_029,E,5,57,0,1.64,4.08,1.848,63.48,289.97,5.72,57.76,5.0202562326869815,10.097902097902098
15NSS_030,E,6,71,0,1.69,4.12,0.974,64.59,259.39,5.8100000000000005,58.78,4.412895542701599,10.117039586919104
15NSS_031,F,1,1,0,1.63,3.32,1.433,66.82,292.57,4.949999999999999,61.86999999999999,4.728786164538549,12.4989898989899
15NSS_032,F,2,14,0,1.63,4.8,1.219,54,242.11,6.43,47.57,5.08955223880597,7.398133748055988
15NSS_033,F,3,27,0,1.63,4.13,1.442,63.48,263.46,5.76,57.72,4.5644490644490645,10.020833333333334
