id	Survived	Survived01	DeltaWeight	Assistance	Position
0	Yes	1	-53.99276747	No	In_water
1	No	0	288.2030234	No	In_water
2	No	0	281.2293891	No	On_water
3	No	0	-1.226547526	No	In_water
4	Yes	1	-1.226547526	No	In_water
5	No	0	352.2440682	No	In_water
6	Yes	1	-33.28270594	No	On_water
7	Yes	1	-59.27838514	No	In_water
8	Yes	1	-85.97135714	No	On_water
9	Yes	1	-51.44861204	No	On_land
10	No	0	177.659669	No	In_water
11	No	0	126.2016986	No	In_water
12	Yes	1	-34.52519946	No	On_water
13	Yes	1	-60.83979739	No	On_land
14	Yes	1	-35.22072539	No	In_water
15	Yes	1	7.211611589	No	In_water
16	No	0	243.8571847	No	In_water
17	No	0	85.31349397	No	In_water
18	Yes	1	-14.90242015	No	In_water
19	Yes	1	-20.08065876	Yes	In_water
20	Yes	1	11.57204826	No	On_land
21	No	0	510.0658083	No	On_land
22	No	0	288.5363071	No	In_water
23	No	0	167.7120036	No	In_water
24	Yes	1	167.9647491	No	On_water
25	Yes	1	-3.864880261	No	On_land
26	No	0	173.5129342	No	In_water
27	Yes	1	28.96088805	No	On_land
28	Yes	1	-6.407198877	No	In_water
29	Yes	1	-31.2494407	No	On_land
30	No	0	230.3135165	No	In_water
31	Yes	1	294.3914633	No	On_water
32	Yes	1	-63.36496916	No	In_water
33	Yes	1	28.4372769	No	In_water
34	Yes	1	37.93349814	No	In_water
35	Yes	1	11.00913597	No	On_land
36	Yes	1	20.50421445	No	On_land
37	Yes	1	15.05260659	No	On_land
38	Yes	1	78.90655415	Yes	On_land
39	Yes	1	14.14516593	Yes	In_water
40	Yes	1	180.2867922	No	On_land
41	No	0	33.09504016	No	In_water
42	Yes	1	77.47448213	No	In_water
43	Yes	1	125.5611955	Yes	On_land
44	Yes	1	124.343588	Yes	In_water
45	No	0	294.1089217	No	In_water
46	Yes	1	12.6329866	No	On_land
47	No	0	447.1778005	No	In_water
48	No	0	275.6255509	No	In_water
49	Yes	1	16.55732107	No	In_water
50	Yes	1	53.21725528	No	On_water
51	Yes	1	-55.49549877	No	On_water
52	Yes	1	79.73743296	No	In_water
53	Yes	1	16.03660911	Yes	On_land
54	No	0	305.0582932	No	In_water
55	No	0	57.14908882	No	In_water
56	Yes	1	-18.21175683	No	In_water
57	Yes	1	13.7201563	No	On_land
58	No	0	305.7587367	No	In_water
59	Yes	1	76.34865755	No	In_water
60	Yes	1	-57.05763464	No	In_water
61	No	0	167.1816267	No	On_water
62	Yes	1	143.5077349	Yes	In_water
63	Yes	1	213.3943037	Yes	On_land
64	Yes	1	-13.79998929	No	In_water
65	Yes	1	76.601403	Yes	On_land
66	Yes	1	-7.127333689	Yes	In_water
67	Yes	1	166.3790968	No	In_water
68	Yes	1	-32.68151272	No	In_water
69	Yes	1	68.74017765	No	In_water
70	Yes	1	76.87328891	No	In_water
71	Yes	1	75.90058805	No	In_water
72	No	0	-19.72868605	No	In_water
73	Yes	1	-59.66511384	No	In_water
74	No	0	462.7742222	No	In_water
75	No	0	460.4930347	No	In_water
76	No	0	449.276326	No	In_water
77	Yes	1	-44.10141117	Yes	In_water
78	Yes	1	-32.6190229	No	In_water
79	Yes	1	-34.52519946	No	On_water
80	Yes	1	-59.66511384	No	On_water
81	Yes	1	46.09409225	Yes	In_water
82	Yes	1	-40.83043215	No	In_water
83	Yes	1	59.14819719	No	In_water
84	Yes	1	11.57204826	No	On_water
85	No	0	465.1531634	No	In_water
86	No	0	171.5449291	No	In_water
