Period	Fishing	OrganicM	Mud	Silt	Clay	Ampeliscidae	Cirratulidae
1	no	1.16	35.27	25.1	10.16	7	29
1	no	1.38	34.46	21.94	12.52	4	52
1	no	1.84	38.39	23.46	14.94	7	68
1	no	1.62	30.71	17.72	12.99	3	43
1	no	1.62	32.59	23.31	9.27	4	41
1	yes	2.13	43.39	29.2	14.19	2	22
1	yes	1.78	39.42	26.53	12.9	2	11
1	yes	1.87	43.29	22.98	20.31	0	7
1	yes	1.56	41.31	22.2	19.11	2	5
1	yes	1.15	37.95	26.36	11.59	3	4
1	no	1.07	31.47	19.11	12.36	1	4
1	no	1.62	33.71	18.01	15.7	0	13
1	no	1.55	28.85	18.74	10.11	1	0
1	no	1.45	28.89	15.27	13.62	0	6
1	no	1.41	34.2	19.53	14.67	2	24
1	yes	1.13	43.91	22.95	20.95	0	13
1	yes	1.54	38.68	23.09	15.6	0	27
1	yes	1.42	50.13	23.79	26.33	0	49
1	yes	1.66	31.78	16.13	15.66	0	2
1	yes	1.62	44.46	22.22	22.23	0	23
2	no	1.04	32.07	19.56	12.51	4	65
2	no	1.38	36.06	21.99	14.06	7	40
2	no	1.65	31.49	20.07	11.42	7	32
2	no	1.38	28.57	17.8	10.77	6	38
2	no	1.4	35.17	18.91	16.26	10	94
2	yes	1.21	35.94	21.45	14.49	4	31
2	yes	1.39	33.4	19.93	13.47	3	19
2	yes	2.01	33.2	20.33	12.87	10	26
2	yes	1.59	38.36	23.68	14.68	2	18
2	yes	1.59	36.29	21.95	14.34	4	100
2	no	1.14	35.67	22.25	13.42	3	35
2	no	1.41	30.88	19.3	11.58	3	51
2	no	1.21	42.71	30.81	11.9	3	43
2	no	1.72	30.8	18.57	12.24	7	52
2	no	1.47	37.94	17.71	20.23	9	94
2	yes	1.76	37.51	23.47	14.04	4	59
2	yes	1.5	40.39	19.35	21.04	7	59
2	yes	1.37	37.1	21.97	15.13	3	24
2	yes	1.37	37.25	22.13	15.12	4	5
2	yes	1.56	48.4	24.98	23.42	8	37
2	no	1.14	27.44	15.94	11.5	7	37
2	no	1.41	32.8	19.51	13.29	12	105
2	no	1.21	37.05	20.21	16.83	9	42
2	no	1.72	34.35	20.54	13.81	12	60
2	no	1.45	32.11	19.15	12.95	6	60
2	yes	1.76	35.24	19.57	15.67	6	16
2	yes	1.5	49.29	24.39	24.9	9	14
2	yes	1.37	36.92	19.18	17.74	6	11
2	yes	1.37	41.37	21.04	20.33	3	145
2	yes	1.56	39.73	20.68	19.06	5	40
3	no	1.25	33.67	20.51	13.16	4	20
3	no	1.5	36.39	19.22	17.17	7	111
3	no	1.44	31.05	18.37	12.69	10	38
3	no	1.71	32.69	19.92	12.77	7	38
3	no	1.45	35.7	18.02	17.68	9	111
3	yes	1.55	33.76	16.94	16.82	9	57
3	yes	1.08	36.3	19.16	17.14	8	61
3	yes	1.62	40.77	22.17	18.61	6	24
3	yes	1.5	37.57	19.33	18.24	12	19
3	yes	1.51	43.09	22.67	20.41	9	25
3	no	1.16	36	21.09	14.91	5	74
3	no	1.24	38.46	21.34	17.12	8	86
3	no	1.67	36.7	21.5	15.2	6	105
3	no	1.48	33	18.79	14.2	11	45
3	no	1.63	37.19	17.71	19.48	11	74
3	yes	1.69	40.23	20.66	19.57	3	51
3	yes	1.38	38.59	20.66	17.92	8	19
3	yes	1.69	29.62	15.04	14.58	6	29
3	yes	1.35	34.18	18.54	15.63	6	23
3	yes	1.32	35.72	18.13	17.59	7	28
3	no	1.46	36.86	22.22	14.64	15	50
3	no	1.65	35.84	23.53	12.31	13	123
3	no	1.67	36.55	24.89	11.67	6	60
3	no	1.31	35.92	17.18	18.74	7	58
3	no	1.26	35.64	23.86	11.79	12	86
3	yes	1.13	39.91	25.23	14.68	9	31
3	yes	0.89	39.96	23.88	16.08	15	50
3	yes	1.22	39.81	25.03	14.79	9	14
3	yes	1.43	39.78	24.52	15.27	6	47
3	yes	1.61	39.83	24.68	15.14	3	9
