Area	Flux	Temp	Ecosystem	Longitude	Latitude
Ahvensalo	-1.745866857	-2.017285777	Wetland	30.53	65.47
BASFSpain	1.111531425	1.082179831	RicePaddy	-4.71	37.74
BuckHollowBog	-0.596137854	-0.637138132	Wetland	-84.01	42.27
ChaiNat	1.598260869	1.864763826	RicePaddy	99.97	15.04
ChippeewaNationalForest	-0.125513049	-0.203900205	Wetland	-93.28	47.32
CrowleyLouisiana	2.072626352	1.49981992	RicePaddy	-92.374077	30.217542
EARTH	1.176998627	1.193179027	Wetland	-83.34	10.13
GA	0.393670371	0.461995311	Aquatic	15.535355	62.979721
IlomantsiFen1991	-0.725123766	-0.837914166	Wetland	30.5	60.4
IlomantsiFen1992	-0.231659274	-0.686818218	Wetland	30.5	60.4
JankalaisenlampiPond	-0.118629512	-0.493447382	Aquatic	27.4	67.1
JeanLafitte	0.606547759	0.779226454	Wetland	90.67	29.48
Jiangsu	2.632053173	1.729249048	RicePaddy	118.872585	32.037621
KhlongLuang	1.812897037	1.933797501	RicePaddy	99.99	15.5
Kompsasuo30m2001	-0.648290176	-0.826285463	Wetland	25.57	65.44
Kompsasuo30m2002	-0.016358678	-0.073068011	Wetland	25.57	65.44
Kompsasuo60m2001	-0.705632257	-0.826285463	Wetland	25.57	65.44
Kompsasuo60m2002	-0.040038654	-0.073068011	Wetland	25.57	65.44
Kompsasuo90m2001	-0.675239963	-0.826285463	Wetland	25.57	65.44
Kompsasuo90m2002	-0.045463814	-0.073068011	Wetland	25.57	65.44
KotsamolampiPond	-0.369764649	-0.320881585	Aquatic	27.06	68.05
Kytalyksite1	-0.138581775	-0.498805002	Wetland	147.29	70.49
Kytalyksite2	-0.358913023	-0.739889862	Wetland	147.29	70.49
LA	0.559529875	0.386233744	Aquatic	17.966337	59.268074
LacAbitibi	-0.06605712	0.014611165	Aquatic	-79.50201	48.62749
LacAlbanel	-0.359878872	-0.280183374	Aquatic	-73.34535	50.85316
LacBoily	0.096023828	0.096375818	Aquatic	-79.20161	49.34015
LacdesFreres	0.064657049	0.181786159	Aquatic	-79.1804	48.93593
Lacdesilets	-0.119532858	-0.150256128	Aquatic	-71.23432	48.201246
LacDuparquet	-0.044610954	0.11811424	Aquatic	-79.31643	48.48519
LacduQuai	0.127579861	0.140542198	Aquatic	-71.258607	48.12947
LacFaniant	0.093134888	0.080242226	Aquatic	-71.263	48.127375
LacFortune	0.242828805	0.329820394	Aquatic	-79.30344	48.190224
LacHebecourt	0.316393052	0.354864657	Aquatic	-79.3897	48.5045
LacJohn	-0.141863012	-0.081507166	Aquatic	-79.20248	49.3457
LacKenogami	-0.619074065	-0.725348261	Aquatic	-71.23846	48.29824
LacMatis	-0.130117002	-0.039177309	Aquatic	-78.78939	50.014556
LacMatissard	0.062931887	0.096736837	Aquatic	-78.68851	48.43141
LacMistassini	-0.445948001	-0.565477634	Aquatic	-73.82723	50.50873
LacNixon	0.270920922	0.236453863	Aquatic	-71.26266	48.11938
LacQuasion	-0.370989842	-0.299823752	Aquatic	-79.507	49.978722
LacRenaud	0.295501275	0.24268213	Aquatic	-79.28266	48.18528
LacSainte-Helene	-0.231226098	-0.196213301	Aquatic	-78.325306	49.814722
LacSimoncouche	-0.125162115	-0.107372694	Aquatic	-71.24915	48.23241
LacSt-Jean	0.001741223	0.064524422	Aquatic	-72.12424	48.493
LacTario	-0.175898374	-0.214237028	Aquatic	-79.195556	49.87
LacValiquette	0.15487255	0.159754824	Aquatic	-71.27876	48.12679
LakeCharels	1.175872732	1.835875278	RicePaddy	-94.3	29.57
Lakkasuomire_Bog	-1.012299814	-1.042671797	Wetland	21.49	61.47
Lakkasuomire_Fen	-0.990297875	-1.101813126	Wetland	21.49	61.47
LaSelva	1.162909546	1.184816166	Wetland	-84	10.25
LO	0.127221905	0.092476061	Aquatic	17.939472	59.862402
LochMore	-0.890691411	-0.944110981	Wetland	-3.295898	58.608334
LS	0.19415868	0.218844902	Aquatic	15.396137	59.890831
LucknowS1	1.152342087	1.661081599	Wetland	80.51	26.45
