Site	SiteName	Latitude	Longitude	Carbon1m	Nitrogen1m	Clay	EM	NetPrimProduction	Temperature	Precipitation	Biome
1	00CA043007	37.679401	-119.681	30.15274022	1.63637002	14.18809551	1	575.6	7.29	963	temperateforest
2	01_CBM_03	47.903999	-117.417	20.07467103	0.75651803	1.681443278	1	539.6	8.35	509	temperateforest
3	01_CBM_06	47.963799	-117.388	6.44420993	0.57203102	2.068041229	1	571.4	8.02	548	temperateforest
4	01_EMM_20	47.522202	-117.467003	20.27981021	0.67754301	2.148453567	1	253	8.32	449	temperateforest
5	01_SMM_30	47.531898	-117.149002	39.19345152	1.79399602	8.362105219	1	649.5	7.43	594	temperateforest
6	01_SMM_33	47.485901	-117.277	9.77844003	1.00073102	22.77699974	1	282	8.04	518	temperateforest
7	01_SMM_39	47.495098	-117.111	8.2026901	0.93606599	22.51900015	1	283.2	7.84	584	temperateforest
8	01_SMM_41	47.543999	-117.130997	19.90475949	0.67894801	8.84927552	1	514.8	7.13	610	temperateforest
9	01_SMM_42	47.5467	-117.157997	22.49955143	0.89569204	3.984210491	1	472.6	7.13	610	temperateforest
10	02MT618001	47.9123	-114.734001	7.55308024	0.55021201	30.83473621	1	556.4	5.07	563	temperateforest
11	02MT619005	48.3904	-114.442001	9.46560019	0.66961002	10.62105255	1	439	5.4	530	temperateforest
12	02MT619007	48.181702	-114.613998	18.37046	0.85879401	18.55399975	1	505	4.37	597	temperateforest
13	03CA605REDW066	41.003399	-123.816002	16.15189953	1.35886498	33.47000008	1	1028	10.04	1503	temperateforest
14	04_JFD_14	42.526901	-122.195999	18.35598998	3.09899304	26.81774201	0	565.1	4.49	967	temperateforest
15	04_RAW_002	45.000702	-117.166	17.24246997	2.651323	10.82500003	1	469.1	2.43	604	temperateforest
16	04_TDT_01	43.048599	-122.117996	22.34783986	0.80712201	1.418367332	1	427.5	3.79	1416	temperateforest
17	04_TDT_02	43.218899	-121.785004	12.54445978	0.311127	2.357142789	1	487	5.61	662	temperateforest
18	04CA605REDW026	41.376099	-124.005997	77.60052958	2.41695504	26.24631603	0	1058.8	10.83	1766	temperateforest
