SiteID	NitrogenDep	Altitude	Inclination	Precipitation	CACO3	Humidity	Light	Exposition	Z9	Oligo	Eutro	UZL	Z9_Mo	Oligo_Mo	Eutro_Mo	UZL_Mo	Z12	Z12_Mo
821178	6.947439	1786	12.98	770.6	3	2.865384615	3.689655172	257	36	5	8	10	5	0	1	1	0.631313131	0.938559322
809186	7.009406	2166	19.69	977.2	2	2.734375	3.941176471	167	38	21	3	15	7	2	0	1	0.73193301	0.921610169
761154	7.010365	2246	11.4	1220.4	4	3.230769231	4.157894737	330	59	38	4	15	24	9	0	0	0.837195055	0.865109067
629118	7.719435	1641	34.66	906.3	1	2.578947368	3.659090909	229	47	13	12	20	9	1	0	0	0.640358653	0.932606941
629114	8.595579	1419	23.13	680.9	3	2.634146341	3.723404255	290	51	18	11	22	22	3	2	1	0.65736973	0.748564642
785154	8.837328	1796	22.74	1314.2	1	2.6875	3.634615385	107	55	22	12	25	3	0	0	0	0.68225969	0.974576271
575090	9.217771	1482	16.05	1274.1	4	3.153061224	3.509433962	357	58	20	16	21	7	1	0	0	0.613949844	0.764124294
779182	9.473533	1736	25.53	1095.4	2	3.170212766	3.510204082	42	56	20	13	22	12	3	1	1	0.725388682	0.780116541
593114	10.07874	1422	40.51	1096.1	1	2.739583333	3.423076923	249	58	13	18	19	9	1	3	1	0.701599562	0.592776433
779210	10.12038	2049	20	1434.5	4	3.1875	3.772727273	164	47	21	6	21	15	2	0	2	0.717211748	0.898486683
815186	10.19991	1500	24.09	803.7	4	2.595744681	3.705882353	206	54	9	18	21	5	0	1	1	0.694222891	0.803672316
605106	10.27855	1399	14.85	802.1	2	2.53	3.6	261	58	16	15	26	16	1	1	0	0.726118885	0.858824321
773142	10.57949	1839	7.86	1115.1	1	3.434782609	3.745098039	84	54	21	13	20	14	1	1	1	0.697458044	0.731265133
731178	10.59083	1947	18.59	1291.6	4	3.230769231	3.651162791	318	44	21	9	17	25	7	0	0	0.727422514	0.818508241
695154	10.67082	1696	24.44	1542.5	1	3.177083333	3.596153846	58	58	21	11	21	14	5	1	1	0.700248671	0.778901301
