Ragweed	Year	DayinSeason	Temperature	Rain	WindSpeed
7	1991	1	72.4118	1	10.4
7	1991	2	67.1111	0	9.4
2	1991	3	68.5294	1	8.2
5	1991	4	73.4	1	11.8
4	1991	5	80.4737	1	7.2
0	1991	6	80.9375	1	7.8
0	1991	7	74.4444	1	5.4
0	1991	8	70.0588	1	10.2
13	1991	9	67.7273	1	5.3
62	1991	10	71.875	1	8.8
25	1991	11	73.5882	1	7.6
15	1991	12	64.6471	0	8.4
57	1991	13	69.6667	1	9.4
40	1991	14	72.1765	1	8.8
25	1991	15	73.875	1	5.8
27	1991	16	74.875	1	2.8
64	1991	17	76.5294	1	4.8
44	1991	18	75.3333	1	4.8
34	1991	19	76.5294	1	9.2
103	1991	20	77.5	1	9.6
165	1991	21	75.5882	1	10
142	1991	22	73.125	1	7.8
9	1991	23	64.6667	0	7.6
92	1991	24	69.0625	1	10.2
80	1991	25	71.0588	1	7.2
186	1991	26	75.9444	1	7.2
239	1991	27	72.8889	1	8.4
115	1991	28	75.0625	1	10
323	1991	29	76.1111	1	3.4
377	1991	30	80.5556	1	6.4
236	1991	31	80.5882	1	6.8
147	1991	32	84.3333	1	1
200	1991	33	80.3125	1	5.4
72	1991	34	80.2778	1	1.8
239	1991	35	75.6875	1	12
87	1991	36	67.625	1	10
93	1991	37	70	1	4.8
93	1991	38	73.8125	1	8.8
40	1991	39	70.5556	1	8.6
9	1991	40	68.7647	1	2.6
32	1991	41	73.3333	1	6.2
43	1991	42	76.5556	1	8
38	1991	43	78.0714	1	10.6
50	1991	44	78.3889	0	11.4
32	1991	45	76.7857	1	10.8
13	1991	46	66.3333	1	8.4
8	1991	47	65.2143	1	8.2
20	1991	48	69.6471	1	5.4
4	1991	49	71.0625	1	5.4
27	1991	50	81.2353	1	13.4
34	1991	51	75.4	1	12.2
4	1991	52	66.1111	1	9.4
5	1991	53	59.3846	1	13
9	1991	54	51.7692	1	10.7
0	1991	55	50.5625	1	9.4
8	1991	56	51	1	4.8
8	1991	57	55.4706	1	12
5	1991	58	55.9375	1	15.2
0	1991	59	50	1	4.7
6	1991	60	49.8	1	10.4
8	1991	61	49.0588	1	17.8
4	1991	62	49.6429	1	11.4
1	1991	63	48	1	4.2
18	1991	64	53.8125	1	8
18	1991	65	67.3636	1	14.2
8	1991	66	63.7895	1	5.4
22	1991	67	66.625	1	12
0	1991	68	63.5882	1	8
0	1991	69	54.875	0	8.6
4	1991	70	54.0625	1	12.6
4	1991	71	43	0	10.4
0	1991	72	46.4375	1	12.8
19	1991	73	54.375	1	13.2
7	1991	74	65.2222	1	10
0	1991	75	56.7647	1	5.8
2	1991	76	50.4706	0	7.6
2	1991	77	50.625	1	10.6
2	1991	78	48.3529	1	4.2
2	1991	79	48.7778	0	11.8
0	1991	80	42.6667	1	9
8	1991	81	43.7647	1	9.2
4	1991	82	56	1	14.6
0	1991	83	58.1429	1	7.2
0	1991	84	42	1	9.2
0	1991	85	40.1765	1	9.2
0	1991	86	50.4444	1	12.6
1	1991	87	59.9375	1	11.2
4	1991	88	65.2353	1	12.8
4	1991	89	66.9333	1	11.6
0	1991	90	64.6667	0	9.4
0	1991	91	61.7333	0	9.4
0	1991	92	56.2857	1	9.6
16	1992	1	70.3889	1	6.4
28	1992	2	71.7143	1	9.8
8	1992	3	72.5556	1	13.2
6	1992	4	78.6471	1	7
39	1992	5	83.6667	1	12.2
56	1992	6	73.8889	1	7.4
16	1992	7	63.2778	1	4.8
44	1992	8	61.75	1	8.8
27	1992	9	62.5	1	10.6
62	1992	10	62.7143	1	10.4
19	1992	11	67.75	1	8.6
16	1992	12	66.7778	1	5.2
124	1992	13	65.3889	1	10.2
77	1992	14	65.2778	1	9.6
32	1992	15	67.7692	1	5.2
88	1992	16	69.0588	1	7
164	1992	17	70.6111	1	6.4
221	1992	18	73.5556	1	9.6
207	1992	19	77.5294	1	6
376	1992	20	79.5625	1	12
218	1992	21	75.9231	1	8
28	1992	22	65.8667	0	6.4
228	1992	23	60.4118	1	10.6
108	1992	24	60.0625	1	10.6
440	1992	25	69	1	17
240	1992	26	66.5294	1	11
98	1992	27	66.5333	1	1
142	1992	29	70.8824	1	8.6
288	1992	30	67.5625	1	7
85	1992	31	68.5	1	6.4
109	1992	32	73.4444	1	10.2
55	1992	33	73.2941	1	5.4
