Genus	Species	Identifier	Year	crown.mm	diam.1	diam.2	leaves	stem.biomass	leafy.biomass	leaf.area.1	leaf.area.2		
Dipterocarpus	conformis	1	2004	245	5.3	4.6	5	1.61	1.23	38.22	63.3		
Dipterocarpus	conformis	2	2004	263	3.9	4	5	0.89	0.96	39.98	42.47		
Dipterocarpus	conformis	3	2004	256	6.6	7.5	6	1.86	0.69	17.59	37.93		
Dipterocarpus	conformis	4	2004	386	5.2	5.8	7	1.99	1.84	53.11	50.65		
Dipterocarpus	conformis	5	2004	402	4.9	4.5	7	1.81	1.16	57.45	31.51		
Dipterocarpus	conformis	6	2004	568	7.8	7.3	9	5.83	1.29	63.07	27.73		 
Dipterocarpus	conformis	7	2004	540	5.1	5.3	7	2.57	2.05	55.56	50.41		
Dipterocarpus	conformis	8	2004	551	5.4	5.1	11	2.94	2.38	53.66	33.44		
Dipterocarpus	conformis	9	2004	599	5.8	6.5	7	5.27	3	33.24	165.37		
Dipterocarpus	conformis	10	2004	561	5.5	5.5	11	3.32	2.77	119.89	85.34		
Dryobalanops	lanceolata	11	2004	320	4.5	4.6	9	1	0.92	8.92	19.06		
Dryobalanops	lanceolata	12	2004	450	4.5	5	9	1.2	1.12	24.94	18.16		
Dryobalanops	lanceolata	13	2004	482	4.9	4.7	10	1.48	0.97	8.7	15.21		
Dryobalanops	lanceolata	14	2004	426	5.5	5.8	9	2.17	1.65	23.55	45.87		
Dryobalanops	lanceolata	15	2004	372	4.2	4.2	6	0.97	0.48	22.77	6.4		
Dryobalanops	lanceolata	16	2004	495	4.4	4.3	11	1.53	1.26	32.81	23.86		
Dryobalanops	lanceolata	17	2004	743	6.1	6.4	14	3.21	3.05	17.56	41.1		
Dryobalanops	lanceolata	18	2004	738	6.5	6.2	12	5.08	3.92	46.54	55.34		
Dryobalanops	lanceolata	19	2004	633	5.7	5.3	20	3.94	3.26	25.17	26.58		
Dryobalanops	lanceolata	20	2004	640	5.5	5.3	17	2.73	2.62	31.83	37.29		
Dryobalanops	beccarii	21	2004	244	3.7	3.3	6	0.42	0.22	7.52	6.36		
Dryobalanops	beccarii	22	2004	295	3.2	3.3	21	0.48	0.9	7.19	7.12		
Dryobalanops	beccarii	23	2004	235	2.5	2.4	3	0.33	0.08	4.56	12.28		
Dryobalanops	beccarii	24	2004	355	2.7	2.4	14	0.3	0.45	7.04	5.65		
Dryobalanops	beccarii	25	2004	375	2.7	2.5	23	0.49	0.7	11.27	2.8		
Dryobalanops	beccarii	26	2004	310	3.3	3	16	0.38	0.4	6.5	5.06		
Dryobalanops	beccarii	27	2004	405	3	3.3	18	0.52	0.47	6.94	6.29		
Dryobalanops	beccarii	28	2004	277	3.9	3.7	20	0.84	0.96	10.12	5.67		
Dryobalanops	beccarii	29	2004	408	3.2	3.4	30	0.96	1.17	12.37	9.22		
Dryobalanops	beccarii	30	2004	423	3	3	20	0.77	0.47	6.14	6		
Dryobalanops	beccarii	31	2004	478	3.4	3.4	25	1.01	1.06	8.03	10.5		
Dryobalanops	beccarii	32	2004	545	4.4	4.4	29	1.8	1.52	12.3	19.39		
Dryobalanops	beccarii	33	2004	488	3.7	4.2	41	0.33	1.7	6.06	13.72		
Dryobalanops	beccarii	34	2004	448	5.9	5.2	28	1.66	2.5	14.83	19.08		
Dryobalanops	beccarii	35	2004	522	3.9	3.8	32	1.7	1.87	10.16	21.49		
Dryobalanops	beccarii	36	2004	465	3.6	3.5	26	1.42	1.56	14.25	16.13		
Dryobalanops	beccarii	37	2004	527	3.9	4.2	38	1.15	1.16	7.14	14.74		
Dryobalanops	beccarii	38	2004	535	4.1	4.4	44	1.73	2.08	12.89	14.54		
Dryobalanops	beccarii	39	2004	590	4.6	4.3	49	2.44	2.43	10.42	14.32		
Dryobalanops	beccarii	40	2004	460	5.2	5.4	43	2.77	2.66	18.41	10.2		
Hopea	sangal	41	2004	418	4.5	4.2	16	1.35	1.01	11.85	13		
Hopea	sangal	42	2004	245	2.4	2.3	24	0.36	0.6	9.69	4.25		
Hopea	sangal	43	2004	560	5.2	5.3	34	3.44	1.96	8.7	12.98		
Hopea	sangal	44	2004	698	5.5	5.6	35	4.91	2.43	9.2	14.14		
Hopea	sangal	45	2004	817	5.8	5.7	46	5.26	3.93	18.67	19.44		
Hopea	sangal	46	2004	760	6.9	6.4	25	7.26	2.41	16.86	18.44		
Hopea	sangal	47	2004	455	3.3	3.1	22	0.91	0.99	15.29	8.32		
Hopea	sangal	48	2004	590	4.8	4.9	44	3.33	2.91	13.18	12.06		
Hopea	sangal	49	2004	795	4.8	5	34	3.22	3.26	17.92	13.93		
Hopea	sangal	50	2004	333	2.9	3	14	0.69	0.75	9.45	15.13		
Hopea	nervosa	51	2004	673	6	5.6	7	2.76	1.36	60.08	34.58		
Hopea	nervosa	52	2004	625	5.7	5.7	6	3.24	1.29	19.26	62.04		
Hopea	nervosa	53	2004	560	5.3	4.8	10	2.97	1.62	20.88	50.83		
Hopea	nervosa	54	2004	980	7.4	7.2	19	9.2	3.51	10.16	45.42		
Hopea	nervosa	55	2004	475	5	5.2	4	3.19	0.75	39.86	31.22		
Hopea	nervosa	56	2004	1115	5.7	5.9	20	8.44	3.53	39.07	48.2		
Hopea	nervosa	57	2004	1022	7.8	7.3	18	10.92	4.26	79.61	29.8		
Hopea	nervosa	58	2004	781	5.7	5.5	28	5.44	3.74	36.53	21.78		
Hopea	nervosa	59	2004	570	5.1	5.1	20	2.77	1.51	20.5	8.42		
Hopea	nervosa	60	2004	645	6.7	6.5	13	5.96	2.19	33.44	24.66		
Hopea	nervosa	61	2004	1030	6.9	6.4	14	7.05	2.97	45.11	35.49		
Hopea	nervosa	62	2004	935	6.1	5.7	8	4.09	1.66	30.24	50.94		
Hopea	nervosa	63	2004	555	5.5	5.2	14	2.59	1.79	14.53	25.03		
Hopea	nervosa	64	2004	950	6.6	6.7	13	6.47	3.52	51.01	32.15		
Hopea	nervosa	65	2004	850	5.2	5.2	21	3.61	1.71	32.05	27.69		
Hopea	nervosa	66	2004	920	6	5.5	20	5.62	3.45	23.82	49.52		
Hopea	nervosa	67	2004	900	6.2	6.2	8	6.55	2.06	54	60.86		
Hopea	nervosa	68	2004	791	4.9	5.5	8	4.29	1.95	30.97	75.06		
Hopea	nervosa	69	2004	960	6.2	5.9	25	6.37	4.17	22.28	27.73		
Hopea	nervosa	70	2004	940	5.6	5.9	8	5.3	3.02	36.31	37.1		
Hopea	nervosa	71	2004	431	5.7	5.5	11	2.67	1.51	28.04	15.89		
Hopea	nervosa	72	2004	731	7.4	7.2	14	8.95	2.6	19.47	48.66		
Hopea	nervosa	73	2004	713	6.1	6	25	5.48	5.42	41.79	55.95		
Hopea	nervosa	74	2004	468	5.3	5.4	10	2.05	1.47	34.39	17.52		
Hopea	nervosa	75	2004	267	4.5	4.7	20	1.94	2.77	32.15	20.36		
Hopea	nervosa	76	2004	645	5.5	5.4	20	3.49	3.57	32.55	35.72		
Hopea	nervosa	77	2004	465	4.7	4.8	11	1.58	1.06	14.46	27.24		
Hopea	nervosa	78	2004	362	5.4	5.6	19	2.25	3.95	51.96	43.05		
Hopea	nervosa	79	2004	402	4.7	4.6	9	1.72	1.32	29.82	21.32		
Hopea	nervosa	80	2004	714	7.3	7.5	21	9.87	5.29	22.64	101.53		
Hopea	nervosa	81	2004	251	4	3.8	12	1.08	1.13	23.14	9.58		
Hopea	nervosa	82	2004	327	4.6	4.7	11	1.61	1.72	17.12	36.4		
Hopea	nervosa	83	2004	462	5.3	5.4	19	2.68	2.52	23.98	15.63		
Hopea	nervosa	84	2004	336	3.9	3.9	9	1.45	1.11	41.66	26.53		
Hopea	nervosa	85	2004	405	4.4	4.4	7	1.38	1.18	37.73	23.94		
Hopea	nervosa	86	2004	455	5.3	5.4	10	2.78	1.28	23.86	21.06		
Hopea	nervosa	87	2004	560	4.8	4.7	9	2.09	1.45	60.47	34.93		
Hopea	nervosa	88	2004	435	4.5	4.7	15	1.86	1.79	30.01	18.62		
Hopea	nervosa	89	2004	726	7.3	7.5	15	6.11	4.1	59.17	68.98		
Hopea	nervosa	90	2004	497	5.5	5.4	15	2.99	2.78	40.33	28.76		
Parashorea	malaanonan	91	2004	381	5.1	4.5	5	1.9	1.4	30.67	44.58		
Parashorea	malaanonan	92	2004	606	5.5	5.9	8	3.8	2.39	65.6	70.02		
Parashorea	malaanonan	93	2004	540	5.5	5.7	7	3.44	2.84	67.55	69.07		
Parashorea	malaanonan	94	2004	831	5.9	6.1	6	5.23	2.91	128.43	73.68		
Parashorea	malaanonan	95	2004	582	4.8	4.5	2	2.02	0.58	60.91	89.06		
Parashorea	malaanonan	96	2004	637	4.4	4.4	7	2.44	1.58	32.83	31.66		
Parashorea	malaanonan	97	2004	795	6.2	6.2	9	5.39	4.85	78.39	84.75		
Parashorea	malaanonan	98	2004	410	4.4	4.5	11	1.77	3.16	141.82	30.66		
Parashorea	malaanonan	99	2004	812	5.7	6	9	5.03	2.26	30.87	64.15		
Parashorea	malaanonan	100	2004	885	5.8	5.9	7	5.53	3.16	51.52	115.66		
Parashorea	tomentella	101	2004	860	6.7	6.3	4	5.67	2.42	55.35	126.57		
Parashorea	tomentella	102	2004	709	6.5	7.1	6	5.57	3.23	106.21	115.6		
Parashorea	tomentella	103	2004	723	6.1	6.3	6	4.74	3.23	95.88	121.13		
Parashorea	tomentella	104	2004	418	4.5	5.1	4	1.49	1.14	60.53	79.35		
Parashorea	tomentella	105	2004	912	7.8	7.4	6	10.92	6.73	215.84	291.05		
Parashorea	tomentella	106	2004	271	4.5	4.2	4	1.18	0.86	56.03	34.57		
Parashorea	tomentella	107	2004	263	4.1	4.3	4	1.11	1.05	39.36	48.28		
Parashorea	tomentella	108	2004	418	6.8	6.7	5	3.55	3	146.88	98.47		
Parashorea	tomentella	109	2004	447	6.2	6	4	2.63	1.26	51.54	78.78		
Parashorea	tomentella	110	2004	578	6.3	7.2	8	5.44	3.43	78.35	129.44		
Shorea	ovalis	111	2004	470	5.8	5.8	13	2.63	3.5	22.32	66.31		
Shorea	ovalis	112	2004	726	6	6.2	9	4.33	2.6	50.98	58.64		
Shorea	ovalis	113	2004	405	4.7	4.9	6	1.67	1.14	47.21	49.72		
Shorea	ovalis	114	2004	350	5.9	5.5	10	1.68	4.22	52.26	73.12		
Shorea	ovalis	115	2004	661	6.4	6.5	11	4.03	3.96	79.52	45.43		
Shorea	ovalis	116	2004	765	6.6	6.1	8	4.63	3.41	109.39	59.38		
Shorea	ovalis	117	2004	360	5.3	4.6	9	1.51	1.46	18.34	35.85		
Shorea	ovalis	118	2004	421	5.2	5	15	1.87	2.65	21.49	62.32		
Shorea	ovalis	119	2004	1030	7	8	34	9	9.67	52.22	42.59		
Shorea	ovalis	120	2004	965	6.2	6.8	20	7.16	8.54	62.26	82.06		
