IDx	Year	IgATot	IgAKLH	IgMKLH	IgATc	IgGTc	ANAnc	Weight	FEC	Age	SURV
1	2001	1.6326	0.1919	1.2809	1.2668	0.9211	0.339	25.3	0	11	0
2	1998	2.6343	0.7109	1.8221	1.8714	1.4054	0.2785	23.3	100	10	1
3	1998	2.3152	0.3679	1.2060	1.0451	0.7517	0.41	19.3	700	10	0
4	1998	2.2667	0.2920	1.2623	1.1422	0.8393	0.111	21.3	NA	10	0
5	1998	1.9035	0.1719	0.7590	0.5532	0.7063	0.156	23.1	0	10	0
6	1998	1.8467	0.1301	1.7484	0.4114	0.7983	0.2065	20.4	0	9	0
7	1998	2.4530	0.4616	1.8840	1.0540	0.9819	0.443	26.5	0	9	0
8	2001	1.6622	0.2066	0.7951	1.0959	0.7382	0.507	24.6	0	11	1
9	1998	1.8830	0.0796	0.5853	0.5788	0.8913	0.327	22.9	0	8	0
10	1998	1.9398	0.1937	0.9733	0.8810	0.8492	0.2485	22	0	8	1
11	1998	2.2949	0.3884	1.1796	1.1250	0.9031	0.0255	20.5	200	8	0
12	2001	1.9385	0.0996	0.9953	0.8780	1.1288	0.086	25.3	0	11	1
13	1998	2.3566	0.3717	1.6992	1.1685	1.5714	0.4925	21.5	0	8	0
14	2001	1.8172	0.2763	1.5275	1.6876	1.4987	0.255	23.2	200	11	0
15	1998	1.8717	0.1573	1.0815	0.6740	0.9855	0.185	21.8	0	8	0
16	1998	1.5897	0.0655	1.5092	0.8256	1.2648	0.5465	26.3	200	8	1
17	2001	1.8676	0.2772	0.8607	0.9982	1.5885	0.3915	23.7	300	11	0
18	1998	1.3827	0.0422	0.4535	0.7740	0.5782	0.2895	19.5	100	8	0
19	1998	2.3655	0.6250	1.3525	1.6741	0.8728	0.422	22	0	8	0
20	2001	1.6352	0.1130	1.2667	0.8975	1.1318	0.0685	25.4	0	11	1
21	1998	2.1698	0.1851	0.9798	0.8198	1.0614	0.266	22.5	0	8	1
22	2001	1.6329	0.2768	1.0482	1.2996	1.0852	0.1425	23.3	0	11	0
23	1998	1.4471	0.0515	1.0503	1.1224	0.5631	0.2665	22.3	200	7	0
24	1998	2.0596	0.2473	0.8734	1.0682	1.0347	0.255	21.8	0	7	0
25	1998	2.1156	0.4809	1.9610	1.4722	1.2768	0.194	20.9	0	7	0
26	1998	2.0305	0.2641	0.9538	0.6799	1.2244	0.4265	21.9	0	7	1
27	1998	2.3199	0.4529	1.0946	1.5711	0.8702	0.188	20.9	0	7	0
28	1998	1.4128	0.1654	0.9281	0.5926	0.5394	0	19.6	200	7	0
29	1998	0.9431	0.0232	0.4438	0.5566	0.5621	0.127	23.1	0	7	0
30	1998	1.3373	0.0800	0.3961	0.7505	0.6994	0	26.1	0	7	0
31	1998	1.3005	0.0547	1.3080	0.3529	1.0169	0.569	15.6	NA	6	0
32	2001	1.1873	0.0296	1.1612	0.2764	0.9645	0.06	21.1	100	9	0
33	1998	1.7302	0.3286	1.2565	0.7957	0.4633	0.2575	20.5	100	6	0
34	1998	2.1773	0.2167	2.1248	1.3726	0.8282	0.177	23.8	0	6	0
35	1998	1.4772	0.0480	1.0562	0.9034	0.6751	0.25	19.9	0	6	0
36	1998	1.0103	0.0371	0.6867	0.5222	0.8061	0.198	19.3	0	6	0
37	2001	1.7509	0.1422	1.1084	1.1819	1.2804	0.75	23.2	0	9	1
38	1998	1.3700	0.0735	0.8623	0.5973	0.9567	0.2475	22.7	0	6	1
39	2001	1.8236	0.2611	0.9250	1.0129	1.2212	0.164	24.9	100	9	0
40	2001	1.8251	0.2646	0.8981	1.1695	1.3600	0.4425	27.7	0	9	0
41	1998	2.2429	0.2095	0.9150	1.2894	1.2732	0.294	21.5	400	6	1
42	1998	2.0787	0.2267	0.8270	0.8052	1.0582	0.1565	17.6	100	6	0
43	2001	1.6513	0.1180	0.7317	1.1573	1.3834	0.181	21.3	100	9	0
44	1998	0.2880	0.0330	0.5537	0.2546	0.3041	0.035	22.5	0	6	1
45	1998	1.9306	0.1416	1.7959	0.6358	0.8528	0.48	24	100	6	1
46	1998	1.9943	0.1776	1.1412	0.9250	1.0192	0.2425	22.3	0	5	1
47	1998	2.0819	0.1418	1.2259	0.9172	1.0718	0.587	23.1	0	5	1
48	1998	1.9836	0.0927	0.6847	0.7650	1.1172	0.414	23	0	5	1
49	1998	2.3172	0.4328	1.0074	1.7205	1.1928	0.2745	20.6	0	5	1
50	2001	1.2157	0.0230	0.5192	0.3125	0.5174	0.4435	23.1	0	8	1
51	2001	1.2479	0.0402	0.9263	0.5349	0.8598	0.1285	24.3	200	8	0
52	1998	2.1778	1.3326	1.2027	1.1658	1.3013	0.2105	27.6	0	5	1
53	1998	1.9631	0.1433	1.2530	1.1562	1.3520	0	18.8	0	5	1
54	1998	2.2373	0.6763	1.2887	1.4669	1.3149	0.176	21.7	0	5	1
55	1998	2.1054	0.4754	1.3862	1.4217	1.3951	0.168	22.9	0	5	0
56	1998	2.2275	0.4552	1.1636	1.2219	0.7540	0.181	21.5	0	5	0
57	2001	1.3543	0.0262	1.0588	0.4301	0.8375	0.3525	22.2	100	8	1
58	1998	1.9357	0.1320	1.0203	0.7214	1.3563	0.2	21.3	0	5	1
59	1998	1.5693	0.0684	0.9225	0.7429	1.0249	0.0495	24.7	0	5	1
60	1998	2.0582	0.3365	0.6610	0.9325	1.1095	0.1395	25.5	0	5	1
61	1998	2.1848	0.9815	0.7058	0.8030	1.2334	0.2075	20.5	400	5	0
62	1998	1.1453	0.0557	0.4202	0.4443	1.1498	0.449	19.5	0	4	1
63	1998	2.1146	0.1759	1.2810	0.9065	1.1800	0.133	24	100	4	0
64	1998	1.6901	0.2410	1.0169	0.8285	1.1516	0.021	19	100	4	0
65	1998	1.5477	0.0672	1.2217	0.9162	0.9722	0.104	20.9	0	4	1
66	1998	2.0052	0.1670	1.4398	1.2451	1.0363	0.1025	22.6	200	4	1
67	2004	1.0954	0.0719	0.4089	0.4424	0.7567	0.4525	20.8	200	9	0
68	2001	1.6548	0.1062	1.1917	0.9285	1.1096	0.1305	25.7	0	6	1
69	2001	1.5422	0.2110	0.8008	1.1695	0.7537	0.1175	22.6	100	6	1
70	2004	1.3588	0.0477	0.8106	0.5141	1.0893	0.2995	25.2	0	9	1
71	1998	1.9906	0.2056	1.0317	0.8329	1.5087	0.369	20.6	200	3	1
72	2004	0.8552	0.0724	0.5800	0.2508	0.9657	0.224	18.2	0	9	0
73	2001	1.7584	0.2063	0.7546	1.0382	1.2174	0.125	27.1	0	6	1
74	2004	1.6946	0.1723	0.9907	0.7715	1.4820	0.155	24.95	0	9	1
75	1998	2.0358	0.1827	0.9855	1.5736	1.1923	0.113	20.1	300	3	1
76	2004	1.7745	0.3007	0.7418	1.1740	0.8279	0.2565	20.6	0	9	1
77	2004	1.8620	0.6725	1.1150	1.8743	1.4244	0.362	24.75	0	9	1
78	1998	2.0336	0.1673	1.9184	1.2583	0.6653	0.1435	21.6	100	3	1
79	2004	1.3806	0.1480	2.1434	0.7578	1.2734	0.5345	22.75	0	9	1
80	1998	2.0431	0.1764	1.2120	0.9618	0.5691	0.2095	19.8	200	3	0
81	2004	1.8384	0.4184	0.7021	1.2763	1.1419	0.273	22.6	100	9	0
82	1998	2.2863	0.2659	1.6731	1.3427	1.2927	0.24	24.9	300	3	1
83	2001	1.6755	0.3549	1.1101	0.9601	1.1734	0.182	22.4	0	6	1
84	2004	1.8155	0.4106	0.5813	1.6965	0.9070	0.1225	20.8	NA	9	0
85	2004	1.1536	0.0391	0.5574	0.4446	0.8854	0.399	24.35	100	9	0
86	1998	1.9793	0.1543	1.2379	0.6479	1.5234	0.156	19.6	0	3	1
87	2001	1.8090	0.4693	0.8275	1.5465	1.0935	0.1035	20.9	NA	6	0
88	1998	2.1744	0.3238	1.2050	1.4916	0.9982	0.699	21.8	600	3	1
