ROCK    	LITTER  	ML	BARESOIL	FallPrec	SprPrec 	SumPrec 	WinPrec 	FallTmax	SprTmax 	SumTmax 	WinTmax 	FallTmin	SprTmin 	SumTmin 	WinTmin 	PCTSAND	PCTSILT	PCTCLAY	PCTOrgC	ELEV
1	30	6	4	79.75	109.9800034	127	125.4700012	16.87999916	18.44000053	28.53000069	4.860000134	2.059999943	2.819999933	9.340000153	-4.539999962	0	46	54	0.06402	2730
4	51	0	13	75.43000031	77.72000122	151.3800049	170.1799927	14.56999969	9.25	21.59000015	-0.589999974	-2.460000038	-5.429999828	3.339999914	-12.25	20	35	45	0.05784	6732
0	38	3	4	54.61000061	99.55999756	46.22000122	149.6000061	19.87999916	17.51000023	29.01000023	1.909999967	3.650000095	2.940000057	9.729999542	-8.890000343	0	46	54	0.06402	2730
3	22.5	0	16.5	32	65.77999878	125.2200012	120.1399994	13.81999969	13.31000042	23.14999962	0.119999997	-3.25999999	-2.950000048	3.410000086	-12.97000027	28	36	36	0.0564	6680
0	48	0	12	39.86999893	95.75	50.02999878	133.8500061	19.65999985	18.38999939	28.61000061	6.510000229	2.75999999	3.329999924	9.430000305	-2.549999952	10	46	44	0.09604	2879
2	32	0	11	32	65.77999878	125.2200012	120.1399994	13.65999985	13.15999985	22.98999977	-0.01	-3.410000086	-3.089999914	3.25999999	-13.10999966	20	35	45	0.05784	6732
10	37	0	0	57.40000153	87.12000275	133.0899963	67.05000305	14.56999969	10.42000008	21.95999908	1.899999976	-2.690000057	-3.029999971	3.059999943	-11.27000046	14	46	40	0.0363	6767
26	26	0	23	10.15999985	57.15000153	95.25	60.70000076	17.38999939	16.90999985	26.78000069	3.640000105	0.280000001	0.639999986	6.940000057	-9.210000038	24	30	46	0.03459	5472
20	21	0	19	153.4100037	118.6100006	161.7899933	213.8600006	10.92000008	11.43999958	21.09000015	-2.380000114	-3.75999999	-3.49000001	2.710000038	-14.35000038	20	35	45	0.05784	6732
36	19	1	4	29.20999908	36.06000137	72.38999939	79.75	15.27000046	9.880000114	22.20999908	-1.25999999	-1.950000048	-5.090000153	3.109999895	-13.27000046	14	46	40	0.0363	6767
15	23	0	20	41.13999939	101.8499985	134.8699951	89.66000366	13.21000004	11.86999989	21.37999916	-0.170000002	-3.25	-3.420000076	3.24000001	-12.32999992	20	35	45	0.05784	6732
39	19	4	19	34.29000092	31.48999977	62.99000168	43.68000031	19.29000092	13.85999966	26.27000046	2.539999962	1.860000014	-1.370000005	6.960000038	-9.609999657	24	30	46	0.03459	5472
44	10	0	12	17.52000046	101.3399963	120.1399994	128.0099945	16.05999947	11.14000034	22.20000076	-2.640000105	-2.130000114	-3.980000019	3.930000067	-14.35999966	20	42	38	0.04974	6725
8	34	2	2	72.63999939	23.87000084	91.44000244	143	13.51000023	10.35999966	22.80999947	-1.039999962	-2.180000067	-4.260000229	3.369999886	-11.85000038	20	35	45	0.05784	6732
0	50	0	9	46.47999954	103.8799973	136.8999939	109.7200012	21.18000031	16.20999908	27.84000015	5.230000019	5.070000172	2.420000076	10.61999989	-4.289999962	0	46	54	0.06402	2730
9	52	0	14	91.94000244	93.72000122	227.5800018	89.40000153	16.84000015	16.77000046	25.54000092	4.699999809	2.880000114	1.370000005	9.220000267	-4.190000057	18	46	36	0.05702	3170
3	43	0	9	46.47999954	103.8799973	136.8999939	109.7200012	19.94000053	15	26.55999947	4.070000172	3.839999914	1.190000057	9.369999886	-5.510000229	18	46	36	0.05702	3170
0	40	0	18	38.34999847	241.3000031	177.2899933	132.5800018	20.57999992	18.42000008	24.62999916	2.980000019	3.180000067	3.119999886	7.840000153	-6.579999924	999	999	999	999	3150
0	57	0	5	46.47999954	103.8799973	136.8999939	109.7200012	20.80999947	15.84000015	27.44000053	4.880000114	4.690000057	2.029999971	10.22999954	-4.699999809	10	46	44	0.09604	2879
27	15	0	7	68.31999969	65.77999878	88.63999939	116.8399963	13.22999954	10.09000015	22.59000015	-1.289999962	-2.309999943	-4.300000191	3.319999933	-11.92000008	14	46	40	0.0363	6767
3	23	0	9	41.65000153	80.26000214	110.4899979	143.5099945	15.02999973	10.84000015	22.38999939	2.230000019	-2.480000019	-2.829999924	3.359999895	-11.22999954	28	36	36	0.0564	6680
18	35	0	16	54.86000061	58.66999817	70.34999847	90.66999817	17.15999985	14	26.67000008	2.460000038	1.429999948	-0.529999971	7.199999809	-8.279999733	24	30	46	0.03459	5472
17	17	0	33	17.52000046	101.3399963	120.1399994	128.0099945	15.93000031	11	22.05999947	-2.769999981	-2.25	-4.110000134	3.809999943	-14.47999954	14	46	40	0.0363	6767
13	26	0	13	48.50999832	77.47000122	108.7099991	105.1500015	16.93000031	11.46000004	24	0.300000012	-0.460000008	-3.519999981	4.71999979	-11.84000015	32	33	35	0.04641	6240
0	40	1	38	55.88000107	65.01999664	184.9100037	111.5	22.02000046	16.53000069	27.25	5.869999886	5.309999943	1.860000014	9.670000076	-4.21999979	0	46	54	0.06402	2730
1	50	0	26	39.86999893	95.75	50.02999878	133.8500061	20.03000069	18.78000069	29	6.849999905	3.140000105	3.710000038	9.81000042	-2.160000086	0	46	54	0.06402	2730
11	51	0	7	121.6600037	97.52999878	114.5500031	118.8700027	14.38000011	17.19000053	27.64999962	2.849999905	2.019999981	2.5	9.229999542	-6.849999905	18	46	36	0.05702	3170
0	31	4	1	68.31999969	114.0400009	204.9700012	132.0800018	19.07999992	18.67000008	23.69000053	2.730000019	4.090000153	4.550000191	9.100000381	-7.159999847	10	46	44	0.09604	2879
11	18	0	4	41.65000153	80.26000214	110.4899979	143.5099945	16.36000061	12.14999962	23.76000023	3.529999971	-1.149999976	-1.49000001	4.679999828	-9.869999886	32	33	35	0.04641	6240
23	22	4	9	24.37999916	87.62999725	81.77999878	45.97000122	18.48999977	14.32999992	26.02000046	5.71999979	1.090000033	0.75	6.900000095	-7.559999943	24	30	46	0.03459	5472
35	24	0	3	57.40000153	87.12000275	133.0899963	67.05000305	14.69999981	10.55000019	22.10000038	2.019999981	-2.559999943	-2.900000095	3.190000057	-11.14999962	20	42	38	0.04974	6725
53.5	18	0	7.5	21.07999992	60.45000076	125.2200012	88.38999939	13.59000015	13.09000015	22.86000061	-0.039999999	-3.349999905	-3.019999981	3.230000019	-12.81000042	20	42	38	0.04974	6725
1	48	0	7	34.02999878	108.9599991	141.7299957	109.2200012	20.44000053	20.37999916	27.75	7.360000134	3.309999943	3.99000001	10.43000031	-2.75999999	0	46	54	0.06402	2730
