"","PlotID","Variety","Yield"
"13",1,"Standard",3.07977859729714
"14",2,"Standard",2.68032787142905
"15",3,"Standard",3.00628834610694
"16",4,"Standard",2.51775276144037
"17",5,"Standard",2.96087485587637
"18",6,"Standard",2.66637629605207
"19",7,"New",3.21267565043133
"20",8,"New",2.98493684666626
"21",9,"New",3.38308352321635
"22",10,"New",3.39253429638036
"23",11,"New",3.31324110822003
"24",12,"New",3.2790330017306
"1",13,"NewPlus",3.42307319335327
"2",14,"NewPlus",3.34130399942599
"3",15,"NewPlus",2.9381111706196
"4",16,"NewPlus",3.07022167391056
"5",17,"NewPlus",3.04324800529061
"6",18,"NewPlus",3.34716792494419
