Block,Pot,Species,Rhizobia,Herbicide,shootDM,rootDM,bgDM,shootN,bgN,pink_nodules,nonpink_nodules,ara,pink_nodule_mass,nonpink_nodule_mass
1,1,Herald,O+N,NoHerbicide,0.3495,0.1307,0.1307,17.99018717,5,0,0,0,0,0
1,2,Herald,O+N,Herbicide,0.1604,0.0745,0.0745,9.176812648,3.177083333,0,0,0,0,0
1,3,FEH-1,O+N,NoHerbicide,0.4706,0.0858,0.0858,23.91676426,2.604166667,0,0,0,0,0
1,4,FEH-1,O+N,Herbicide,0.1987,0.0694,0.0694,13.08377249,2.760416667,0,0,0,0,0
1,5,Herald,RRI128,NoHerbicide,0.2934,0.1177,0.13103,11.3574414,4.21875,75,24,0.6183121,0.01304,0.00029
1,6,Herald,RRI128,Herbicide,0.1097,0.0976,0.09849,4.906414683,3.4375,14,11,0,0.00077,0.00012
1,7,FEH-1,RRI128,NoHerbicide,0.2135,0.0801,0.0884,8.813374523,3.020833333,34,3,0.330352805,0.00819,0.00011
1,8,FEH-1,RRI128,Herbicide,0.1465,0.0747,0.0786,6.451026713,2.5,27,24,0,0.00307,0.00083
1,9,Herald,washed,NoHerbicide,0.3272,0.0943,0.10713,13.9923678,3.541666667,53,12,1.505168233,0.01227,0.00056
1,10,Herald,washed,Herbicide,0.065,0.0515,0.0523,2.998364528,1.770833333,3,11,0,0.00029,0.00051
1,11,FEH-1,washed,NoHerbicide,0.3031,0.0879,0.09814,12.17517718,3.75,37,28,1.051125367,0.00979,0.00045
1,12,FEH-1,washed,Herbicide,0.187,0.0715,0.07567,10.81228421,3.125,44,16,0,0.0034,0.00077
1,13,Herald,herb,NoHerbicide,0.3695,0.1265,0.14474,15.90041795,5.208333333,99,22,0,0.01751,0.00073
1,14,Herald,herb,Herbicide,0.1106,0.0614,0.06234,5.724150463,2.96875,9,4,0,0.0009,0.00004
1,15,FEH-1,herb,NoHerbicide,0.2198,0.047,0.04871,11.17572233,1.770833333,10,13,0,0.00147,0.00024
1,16,FEH-1,herb,Herbicide,0.1659,0.0694,0.07368,9.085953116,2.916666667,21,25,0,0.00262,0.00166
1,17,Herald,O-N,NoHerbicide,0.2863,0.1227,0.1227,7.177902962,3.645833333,0,0,0,0,0
1,18,Herald,O-N,Herbicide,0.0785,0.0652,0.0652,3.997819371,3.125,0,0,0,0,0
1,19,FEH-1,O-N,NoHerbicide,0.233,0.0868,0.0868,6.905324369,2.552083333,0,0,0,0,0
1,20,FEH-1,O-N,Herbicide,0.1689,0.0729,0.0729,7.723060149,2.5,0,0,0,0,0
2,21,Herald,O+N,NoHerbicide,0.7072,0.2369,0.2369,27.2948383,11.97916667,0,0,*,0,0
